,ConvertedAge,BreedRank,AnimalType_Cat,AnimalType_Dog,Female_Female,Female_Male,Female_Unknown,Intact_Intact,Intact_Spayed/Neutered,Intact_Unknown,MixedBreed_Known Breed Combo,MixedBreed_Mixed Breed,MixedBreed_Nonmixed,Named_Named,Named_Unnamed
22860,-0.0688152142423,-1.19245691152,0,1,1,0,0,0,1,0,0,1,0,1,0
4007,0.265841189312,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,0,1
15531,-0.622285420121,-1.73701827261,0,1,1,0,0,0,1,0,0,1,0,1,0
8370,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
10150,3.2777488213,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
9315,-0.0688152142423,-0.00432303276372,0,1,1,0,0,0,1,0,1,0,0,0,1
22426,3.2777488213,-0.99443459839,0,1,0,1,0,0,1,0,0,1,0,1,0
25163,-0.725256621215,0.738260641456,1,0,0,0,1,0,0,1,0,1,0,0,1
20204,-0.622285420121,-1.73701827261,0,1,0,1,0,0,1,0,0,1,0,0,1
9282,0.265841189312,-1.61325432691,0,1,1,0,0,0,1,0,1,0,0,1,0
8028,0.935153996421,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
16031,-0.651246070428,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
14063,2.94309241775,-1.73701827261,0,1,1,0,0,0,1,0,0,1,0,1,0
3114,1.26981039998,-1.19245691152,0,1,0,1,0,0,1,0,0,1,0,1,0
10668,2.27377961064,0.738260641456,1,0,1,0,0,0,1,0,0,1,0,1,0
6393,-0.0688152142423,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
8304,0.600497592867,0.738260641456,0,1,0,1,0,1,0,0,0,1,0,0,1
391,-0.725256621215,0.738260641456,1,0,0,1,0,1,0,0,0,1,0,0,1
8895,-0.680206720736,0.738260641456,1,0,0,1,0,0,1,0,0,1,0,1,0
7222,0.265841189312,0.738260641456,0,1,1,0,0,0,1,0,0,1,0,1,0
6954,-0.403471617797,0.738260641456,1,0,1,0,0,1,0,0,0,1,0,0,1
2750,-0.477482168583,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,0,1
7108,-0.419560867968,0.738260641456,0,1,0,1,0,0,1,0,0,1,0,1,0
22982,-0.0688152142423,-1.39047922464,0,1,0,1,0,0,1,0,0,1,0,1,0
8794,-0.535403469198,-1.73701827261,0,1,0,1,0,0,1,0,0,1,0,1,0
